Manutenzione Ordinaria (Tagliando) (Si/No),Campagna di richiamo/in garanzia (Si/No),Lavorazione per riparazione (Si/No),Raccomandabilità,Soluzione al primo tentativo,Accoglienza,Verifica tempistiche di prenotazione,Fornito Preventivo,Spiegazione lavori effettuati,10 a casa madre,Note cliente
No,No,Si,10,Si,10,10,Si,10,Si,Molto bravi e disponibili a soddisfare le esigenze del cliente
No,Si,No,10,,10,10,,10,Si,Sono rimasto sorpreso e un po' deluso da un difetto presentatosi su auto acquistata a km zero. Intervento comunque immediato anche se con due giorni di fermo. Auto sostitutiva ottima
Si,No,Si,2,No,9,2,No,6,No,1 TRATTARE TUTTI I CLIENTI IN MODO UGUALE 2 AVERE LA DECENZA DI FARE UNA TELEFONATA PER RIMANDARE UN APPUNTAMENTO E NON SPOSTARLO A MEZZO WHATSAPP  3 RISPONDERE AL TELEFONO 4 ESSERE ONESTI  5 NON INSISTERE IN ULTERIORI RIPARAZIONI SE NON RICHIESTE
Si,Si,No,9,,10,9,Si,9,Si,Tutto bene
Si,No,No,9,,10,10,Si,9,Si,Abbbassate un po’ i prezzi  Mano d’opera per esempio
Si,No,No,10,,10,10,Si,10,Si,Molto gentili e molto apprezzato il caffè offerto
Si,No,No,10,,10,10,Si,10,Si,Nessuna lamentela per la gentilezza la disponibilita la puntualità e l'accortezza del servizio.  L'unica cosa che è stato oneroso portare e ritirare l'auto non trovandosi l'officina in un posto facilmente raggiungibile con mezzi alternativi diversi dal ta
No,No,Si,4,No,10,6,No,6,No,"Profonda delusione e amarezza per la mancata risoluzione delle problematiche più importanti della mia autovettura. In un anno ho portato l auto (acquistata nuova) cinque volte, ed ancora ci sono problemi irrisolti. Inconcepibile, soprattutto per il marchi"
Si,No,No,10,,10,10,Si,10,Si,"Tutto molto professionale, molto soddisfatto"
No,No,Si,10,Si,10,10,Si,10,Si,Soddisfatto
Si,No,No,10,,10,10,Si,10,Si,Tutto perfetto come sempre
Si,No,No,10,,10,10,Si,10,Si,"Sicuramente confermerò il “10”  Per far crescere la fiducia tra cliente e “officina di fiducia” suggerirei di mettere nel video, idea che apprezzo molto, anche la sostituzione delle candele, che è stata la più costosa voce della mia spesa.   Alla prossima"
No,No,Si,10,Si,10,10,Si,10,Si,Signora *** molto gentile e disponibile
Si,No,No,10,,10,10,Si,9,No,"Nel video  che inviate  con la spiegazione  degli interventi eseguiti sull'autovettura,  l'audio è poco chiaro e  chi parla  ha una dizione poco comprensibile, soprattutto  verso la  fine del video,  sarebbe  meglio  mettere  una persona con una parlata p"
Si,No,No,10,,10,10,Si,10,Si,"Dovevo far tagliando e la signora che si occupava della documentazione è stata veramente gentilissima, era molto disponibile nel aiutarmi  e far in modo che io faccio tutto nelle mie tempistiche richieste .Grazie mille ."
Si,No,No,10,,10,10,Si,10,Si,Sempre al top. Grazie
Si,No,No,10,,10,7,Si,10,Si,"***: molto bene le persone che ci lavorano, tutti! Il problema che vedo io, eventualmente, sono le procedure, spesso complicate! Grazie dell'attenzione."
Si,No,No,10,,10,10,Si,10,Si,"Tutto perfetto! La persona addetta all’accettazione, assolutamente gentile, cordiale e disponibile. Ottimo rapporto con il cliente.  Rispettati tutti i requisiti!  Meccanico addetto al tagliando, gentile, premuroso e molto preparato. Grazie a tutti. ***"
Si,No,No,10,,10,8,Si,10,Si,Siete distanti dalla mia abitazione. Ho difficoltà ad organizzarmi visto che sono un disabile.
Si,No,No,4,,4,10,Si,10,Si,"Non sono soddisfatto dell'accordo precedentemente concordato riguardo all'auto sostitutiva perché siamo una famiglia di quattro persone e la concessionaria mi ha risposto solo che, purtroppo, erano disponibili solo Smart. Penso che sia irrispettoso ignora"
No,No,Si,10,Si,10,10,Si,10,Si,"Ragazzi eccezionali *** disponibile sempre disponibile, competente e professionale"
No,No,Si,10,Si,10,10,Si,10,Si,"Apprezzamento: nelle varie esperienze  smart/ Mercedes ( più di 25 anni) rinnovo la stima e ringraziamento a *** che riesce ogni volta ad essere disponibile, sincero , chiaro ed efficiente e a offrire un servizio unico!.  L’equipe che lavorano"
No,No,Si,10,Si,10,10,No,10,Si,Comunicare quanto potrebbe protrarsi l'attesa in loco per un piccolo intervento
Si,No,No,10,,10,10,Si,10,Si,Tutti gentili tutti disponibili ottima filiale
Si,No,No,6,,6,6,Si,6,No,Sarebbe auspicabile più disponibilità e professionalità. Non vengono proposte soluzioni o spiegazioni. Non hanno la scheda dell’auto per capire se l’autovettura ha una copertura di garanzia Mercedes. Già appena acquistata ho dovuto riportare l’autovettura
No,No,Si,10,Si,10,10,Si,10,Si,"Professionalità cortesia efficienza, sono rimasta colpita molto piacevolmente."
Si,No,No,10,,10,10,Si,10,Si,"avrei usufruito di un’auto sostitutiva fornita da Autotorino, in quanto sono lontano dalla sede, in caso di manutenzione della mia auto  necessito di un passaggio da “amici” Questo un punto da migliorare…"
Si,No,No,8,,10,10,Si,10,No,"Non dò una valutazione pari a 5 perché ci sono stati problemi nel fissare l'appuntamento tramite il vostro call center. Ho provato a contattarvi più volte sia tramite telefono che e-mail, nessun riscontro. L'appuntamento è stato fissato direttamente con l"
Si,No,No,10,,10,10,Si,10,Si,"*** è davvero molto bravo, professionale e gentile"
Si,No,No,10,,10,10,Si,10,Si,Sono venuto per molti anni da voi(anche se avevate un'altra insegna) e devo dire che mi sono trovato benissimo anche con Autotorino. Grazie a tutto il team.
Si,No,No,10,,10,10,Si,10,Si,"Tutto perfetto, grazie!"
Si,No,No,9,,10,10,No,9,No,Indicare nel preventivo anche i costi di smaltimento rifiuti. Maggior e miglior informazione riguardo la frequenza del tagliando durante la garanzia.
No,No,Si,1,No,1,1,No,1,No,Mi avete venduto una macchina nuova piena di problemi di fabbrica. Mi lascia a piedi almeno 3/4 volte all'anno.non siete mai stati in grado di trovare una soluzione ne di prodigarvi a trovare le cause reali del mal funzionamento. Continuate a liquidarmi d
Si,No,Si,10,Si,10,10,Si,10,Si,"Personale serio, ora mai quasi introvabile"
Si,No,No,9,,10,9,Si,8,Si,Buongiorno... Il personale è gentile..e accogliente...( anche xke'.. sono soldi ke entrano... Invece x una manutenzione ordinaria...  un pochino cari ...
No,No,Si,10,Si,10,10,Si,10,Si,Nel complesso tutto ok
No,No,Si,9,Si,9,9,Si,9,Si,👍🏻
Si,No,No,10,,10,10,Si,10,Si,Ottimo lavoro.
Si,No,No,9,,9,9,Si,9,Si,Ottimo trattamento da tutto il personale
Si,No,No,10,,10,10,Si,10,No,"Buongiorno,questa volta a differenza del primo tagliando,la macchina non è stata lavata,per il resto tutto bene"
No,No,Si,9,No,10,8,Si,9,Si,Ottima accoglienza personale preparatissimo e soddisfatto
Si,No,No,10,,10,10,Si,10,Si,"Complimenti e Auguri!!! Bravo, rapido e preciso il Vostro ***!"
Si,No,Si,4,No,4,4,Si,4,No,La lavorazione dell’autovettura è iniziata dopo diversi giorni  sua per il non aver ordinato i pezzi da sostituire e sia perché non è stata proprio controllata. L’aggiornamento del navigatore e stato fatto vendendomi un garmin Europa vecchio del 2022 ma s
No,Si,No,6,,8,6,,8,Si,"La vettura ha ancora un difetto non risolto poiché il servizio tecnico non ritiene compatibili le condizioni in cui l’anomalia si presenta con le policy aziendali. Nonostante abbia proposto di visionare un video esplicativo dei sintomi, sono stato invitat"
Si,No,No,10,,10,10,Si,10,Si,Precisione e rispetto tempi . Molta cortesia
No,Si,No,10,,10,10,,10,Si,Avanti così
No,No,Si,10,Si,10,10,No,10,Si,Nessuna spesa perché la vettura è stata riparata in garanzia
No,No,Si,10,Si,10,10,Si,10,Si,Complimenti al sig ***
Si,No,No,10,,10,10,No,10,Si,Complimenti personale qualificato e motivato. Bravi
Si,No,No,10,,10,10,Si,10,Si,Sono rimasta molto soddisfatta della gentilezza degli operatori
No,No,Si,8,Si,8,8,Si,6,Si,difficolta' ad accedere per la prenotazione intervento. direi 5/6 chiamate senza risposta.
No,No,Si,4,No,8,4,Si,4,No,L officina si lascia desiderare. Il capo officina molto bravo
No,No,Si,10,No,2,2,No,2,Si,"Approssimazione e mediocrità nel servizio , ad un cliente fidelizzato . Buona giornata ***"
Si,No,No,10,,10,10,Si,10,Si,"Eccellenza la filiale di Parma ottima gestione, purtroppo si trova a Parma"
No,Si,No,10,,10,10,,10,Si,"Tenuto conto dell’alto standard raggiunto dalla filiale, sarebbe più consono sentirsi dire da l’addetto receptionist/accettazione “Prego, si accomodi nel nostro salottino, le restituisco le chiavi appena ultimato l’intervento”… piuttosto che “Porti l’auto"
Si,No,No,9,,9,9,Si,9,Si,Soddisfattissimo del servizio Un po’ meno per i tempi di attesa degli accessori della mia nuova GS 1300 ADV so che non è colpa vostra ma sto aspettando valige laterali  da tempo Non parliamo della borsa serbatoio che doveva arrivare insieme alla moto
Si,No,No,9,,10,8,Si,10,Si,Dettagliare nel sito o app  i lavori che verranno effettuati
No,No,Si,7,No,8,5,No,9,No,"Non capisco come i meccanici non si siamo accorti subito che bisognava sostituire anche la pompa dell’acqua oltre ai pezzi già sostituiti, per me grande disagio restare senza auto 3 volte e non avere auto di cortesia senza quantificare tempo impiegato per"
No,No,Si,10,Si,10,10,Si,10,Si,Professionalità e competenza.
No,No,Si,6,Si,8,6,Si,8,No,"Per un auto con un valore di circa 9000 euro indicare una soluzione, senza cercarne di altre più economiche, con un costo di 4500 euro per una scheda finalizzata a ripristinare il display e le funzioni audio, telecamera, ecc, mi è sembrato un po superfici"
Si,No,No,8,,10,10,Si,8,No,del 09.30 check-in per service B plus disc change. Collection with Q after 17.00 e troppo longo. Verso 15.00 sarebbe meglior.
Si,No,No,10,,10,10,Si,10,Si,Ok !
Si,No,No,9,,10,9,No,8,No,Contenere un po' i prezzi!
Si,No,No,6,,8,8,No,3,No,"Non mi sono stati chiariti gli interventi fatti; il tempo di attesa indicato inizialmente, circa 2h è stato nella relata di oltre 3 , a casa di questo ho dovuto spostare un appuntamento, sarebbe stato meglio avere un’indicazione reale dei tempi di attesa,"
Si,No,No,10,,10,10,Si,10,Si,"Personale disponibile e competente, tempi di lavorazione rispettati, costi come da preventivo che si auspica in riduzione."
Si,No,No,10,,10,10,Si,8,Si,Buona accoglienza
Si,No,No,10,,10,10,Si,10,Si,Professionalità e Accoglienza molto apprezzate
Si,No,No,10,,10,10,Si,10,Si,Cordialità e professionalità
Si,No,No,1,,8,9,Si,9,No,"Purtroppo ho avuto un sorpresa dopo il ritiro dell auto ieri sera, il faro sinistro bruciato, abito lontano da Busto per cui oggi 8.08. venerdì mattina prima di ferragosto stress a cercare officina x qualcosa che dopo 410 euro di tagliando deve funzionare"
No,No,Si,10,Si,10,10,Si,10,Si,Niente da suggerire tutto ok
No,Si,No,10,,10,10,,10,Si,"Personale Gentile e preparato, sono stato ben accolto dal service e sono stati esaustivi nello spiegarmi la manutenzione da effettuare."
No,No,Si,9,Si,10,9,No,9,-,Intervento in garanzia
Si,No,No,10,,10,10,Si,10,Si,Suggeridco di aumentare le vetture di cortesia per i clienti che vengono in officina
Si,No,Si,8,Si,10,10,Si,9,No,Dovreste organizzarvi meglio per i tempi di attesa in fase di consegna e ti consegna. Nonostante l’appuntamento alle ore 8.30 ho dovuto attendere 15 minuti per avere un referente in quanto era impegnato con altri e stessa cosa al ritiro. Forse sarebbe il
No,Si,No,9,,9,9,,9,Si,Il personale è molto gentile
No,Si,No,5,,9,9,,9,No,"Disponibilità eccellente del personale in accoglienza per il lavoro alla distribuzione ( in garanzia) e competenza assoluta nel risolvere il problema auto sostitutiva, al numero verde NON sono stati in grado nel modo più assoluto di intervenire! Quindi si"
Si,No,No,10,,10,10,Si,10,Si,Multi disponibile e gentile
Si,No,No,9,,9,9,Si,9,No,Mi hanno fatto il tagliando dimenticandosi il cambio olio dei freni il cui richiamo scade tra meno di un mese. Questo mi costringe a ritornare e perdere altro tempo quando invece poteva essere fatto direttamente in questo tagliando.
Si,No,No,10,,10,10,Si,10,Si,Il prezzo per sostituire le pastiglie dei freni mi sembra eccessivo
No,Si,No,9,,10,9,,9,No,Da migliorare l'assistenza post vendita
Si,No,No,10,,10,10,Si,9,Si,Personale estremamente gentile. Grazie
No,No,Si,10,Si,10,10,No,10,-,"Accettatore fantastico. Grazie al suo intervento la batteria di servizio è stata sostituita in tempo 0 e ho potuto partire per le vacanze. Dopo una serie di esperienze negative nella gestione dell'assistenza stradale, il vostro accettatore (***) mi h"
No,Si,No,10,,10,10,,10,Si,Niente da segnalare il responsabile è stato molto preciso accogliente e professionale
No,Si,No,10,,10,10,,10,Si,"Buongiorno, Occorre essere più precisi nel parlare di periodo di garanzia perché poi alla fine ti ritrovi a dover sborsare per una batteria da sostitiire,di un'auto acquistata di seconda mano, immatricolata aprile 2021, E220 station premium, acquisto 39.0"
Si,No,No,10,,10,10,Si,8,No,"Ho comprato da voi un auto usata e mi sarei aspettato di ricevere informazioni sui controlli effettuati (ad esempio non è  stato possibile sapere se il filtro dell'A/C era stato sostituito e quindi conoscere lo stato di usura di quello presente sull'auto,"
Si,No,No,10,,10,10,Si,10,Si,"Assistenza top, molto bravi."
Si,No,No,10,,10,10,Si,10,Si,Grazie mille
No,No,Si,10,Si,10,10,Si,10,-,Ringrazio per il supporto per la riparazione della mia autovettura.
No,No,Si,10,Si,10,10,Si,10,Si,Complimenti a *** per la cortesia e professionalità! Complimenti anche al personale di officina per aver compreso immediatamente il problema manifestato dalla mia auto. Bravi!
Si,No,No,4,,4,4,Si,2,No,"X niente soddisfatto  , molto deluso dal prezzo e i tempi di lavorazione  , sono proprio deluso  , 10 giorni x 2 lavorazione e 900 euro di spese"
Si,Si,No,10,,10,10,Si,10,Si,Sempre grande gentilezza e professionalità (in quest’ occasione mi ha seguito il sig ***). Sempre gentile e disponibile anche la signora ***.
No,No,Si,10,No,6,4,No,2,No,"Per un tagliando tempi di attesa bibblici , costi tra costo di manodopera stratosferico , operazione fatta per rumori allo sterzo e sustituzione di un braccino non hanno risolto il problema . Dovro tornare lunedi perche' mi venga risolto il problema . la"
Si,No,No,9,,9,9,Si,9,No,Va bene cosi
Si,No,No,9,,9,9,Si,9,Si,Puntualità.
Si,No,No,10,,10,10,Si,10,Si,Come prima esperienza sono estremamente soddisfatto su tutto il processo
No,No,Si,10,Si,10,10,Si,10,Si,.
Si,No,No,10,,10,10,Si,10,Si,"Tt perfetti, grazie"
No,Si,No,9,,10,6,,9,Si,Tempi lunghi per arrivo pezzo di ricambio
Si,No,No,10,,10,10,Si,10,Si,😊👍🏻
Si,No,No,7,,8,9,No,9,No,"Pago auto sostitutiva sia per tagliandi che per guasti non dipendenti da me ma da problemi della macchina nuova tra l altro mai avuto un auto sostitutiva devo perdere il lavoro e scomodare altre persone per farmi venire a prendere  ,essendo stata chiara q"
Si,No,No,7,,9,9,Si,7,No,"Segnalata la scomparsa delle app meteo, news e segnalazione interpreti canzoni non solo non siete stati in grado di ripristinare i programmi, ma è stato cancellato il profili del guidatore senza essere in grado di ripristinare il profilo originario. Al mo"
No,Si,No,10,,10,10,,10,Si,Molto contento anche della disponibilità di *** persona molto preparata e professionale e grazie per tutti i lavori svolti
Si,No,No,8,,8,10,Si,10,No,Consulente gentile e preparato ma troppo oberato di lavoro per i troppi appuntamenti e la scarsità di colleghi: ho dovuto attendere più di 40 minuti per lasciare la vettura e oltre 30 per ritirarla. Ho avuto l’impressione che quando era Mercedes il lavoro
Si,No,No,10,,10,10,No,10,Si,"Ottimo livello di presa in carico delle mie problematiche, con gentilezza, tempestività e competenza"
Si,No,No,4,,4,10,Si,4,No,Nella sala di accettazione mi dicono sono cambiate le cose:vengo spedito all’interno del salone ma la signorina mi rimanda a prendere la Smart per portarla in fondo al viale in officina.Qui *** in modo sbrigativo ma tt sommato gentile mi fornisce prez
No,No,Si,10,Si,10,10,Si,10,Si,"Grande la disponibilità e la cortesia di ***,nostro agente di vendita . Eccellenza in tutto ."
Si,No,No,10,,10,10,Si,10,Si,"Tutto bene, grazie mille!"
No,No,Si,10,Si,10,10,Si,10,Si,Grazie.    Anche per la gentilezza.
Si,No,No,10,,10,10,Si,10,Si,"Migliorabile il servizio di prenotazione: varie chiamate per cambio data...la consegnamo in mattinata....no, la sera...auto sostitutiva ok...no, non c'è l'auto... Molto migliorabile..."
Si,No,No,10,,10,10,Si,10,Si,"Non ho altro da dire se no , un ringraziamento a tutto lo staff !"
No,Si,No,1,,1,1,,1,No,"Ho portato la mia macchina per un richiamo . Avevo la spia del airbag e non sono riusciti a sistemarlo. Mi hanno cambiato l’airbag del guidatore invece di sistemare sensore del sedile passeggero, che poi anche lì si parla di sicurezza.non porterò più la m"
No,No,Si,9,Si,9,9,Si,9,Si,"Ho sostituito il rivestimento del volante perché il giorno dopo la consegna mi sono accorto essere rigato, il problema è stato risolto e ho trovato subito attenzione e prontezza nel risolvere il problema. Il punto che mi ha lasciato perplesso è che sull’a"
Si,No,No,10,,10,10,Si,10,Si,Appassionati di BMW station x drive serie 5 non la cambieremmo mai con un Suv. Le nuove linee dei Suv non ci convincono . Da rivedere assolutamente il frontale con la mascherina in plasticone . Questo è un nostro parere personale.
Si,No,No,10,,10,10,No,10,Si,Nulla da eccepire
Si,No,No,10,,10,10,Si,10,Si,"Nessun suggerimento ma solo complimenti, davvero professionali! Come sempre"
No,Si,No,10,,10,10,,10,Si,Spero che questo intervento fatto per la terza volta sia risolto. Per fortuna che è in garanzia...per ora.
Si,No,No,10,,10,10,Si,10,Si,"Una piccola attenzione… Se le moto le parcheggiate sotto il portico dell’ingresso sarebbe opportuno rivolgerle dalla parte dell’uscita che nel caso mio era uscita obligatoria dx, mentre la moto era parcheggiata come tutte cavalletto laterale e verso sx….i"
